編號,科目,主題,七大原則,繁體中文,英文全名,英文縮寫,英文發音,核心目標,核心原理,定義,用途,應用場景,氣象與防災,農業漁業與畜牧,交通與物流,生產與製造（工業4.0）,科技金融與醫學,客服零售與生活,消防與公共安全
193,中科一,雲端平台,永續發展與福祉,Vertex AI,Vertex AI,-,FALSE,統一 AI 開發平台,Google 雲端 AI 套件,Google Cloud 提供的企業級機器學習平台，整合了開發與維運工具。,企業模型規模化部署,在 Google 雲端管理多個 AI 模型。,,,,,,,
194,中科一,雲端平台,永續發展與福祉,Azure AI,Azure AI,-,FALSE,企業級 AI 服務,Microsoft 雲端 AI 套件,提供包含 OpenAI 服務在內的雲端 AI 工具，強調安全性與穩定性。,企業 AI 應用開發,整合 Office 資料的企業專用 LLM。,氣象預報：氣象報告文字自動生成；環境：民眾災害問答AI助理,智慧耕作：農民農業技術問答機器人；農業政策法規文件摘要,智慧物流：貨運文件智動摘要；客服：運輸問題AI即時回覆,製程優化：設備操作手冊問答系統；品質報告自動撰寫,金融科技：Robo-advisor個人化理財建議；智慧醫療：病歷摘要/醫療問答AI,智能客服：24H生成式AI郵件/聊天回覆；個人化購物推薦文案生成,公共安全：緊急應變知識問答機器人；消防法規自動查詢
195,中科一,雲端平台,永續發展與福祉,Bedrock,Bedrock,-,FALSE,靈活模型調度,AWS 雲端 AI 套件,Amazon 提供的全代管服務，可透過 API 存取多種頂尖模型。,多模型選擇與整合,視需求切換不同的基座模型服務。,氣象預報：氣象報告文字自動生成；環境：民眾災害問答AI助理,智慧耕作：農民農業技術問答機器人；農業政策法規文件摘要,智慧物流：貨運文件智動摘要；客服：運輸問題AI即時回覆,製程優化：設備操作手冊問答系統；品質報告自動撰寫,金融科技：Robo-advisor個人化理財建議；智慧醫療：病歷摘要/醫療問答AI,智能客服：24H生成式AI郵件/聊天回覆；個人化購物推薦文案生成,公共安全：緊急應變知識問答機器人；消防法規自動查詢
196,"中科一

初科二",雲端平台,永續發展與福祉,-,OpenAI Application Programming Interface,OpenAI API,FALSE,降低開發門檻,RESTful API 呼叫,OpenAI 提供的雲端接口，允許開發者透過程式碼直接存取 GPT-4o、DALL-E 等模型的能力。,讓企業無需自建算力即可擁有頂尖 AI 功能。,企業將 OpenAI API 整合至官方 App 中，提供智慧客服功能。,,智慧耕作：農民用藥/種植問題語音客服機器人,智慧交通：大眾運輸24H AI客服（班次/票務查詢）,製程優化：設備操作問題AI即時回覆,金融科技：24H智能理財/帳務客服；智慧醫療：預約/衛教問答機器人,智能客服：24H語音機器人、生成式AI郵件回覆（核心場景）,公共安全：非緊急情況AI問答分流（釋放人工接線員）
197,中科一,模型訓練,永續發展與福祉,預訓練,Pre-training,-,FALSE,獲取基礎知識,大規模無監督學習,在海量、多樣的原始數據上進行初步訓練，學習語言或視覺的通用規律。,建立基座模型能力,讓模型學會寫程式和說各種語言。,氣象預報：氣象報告文字自動生成；環境：民眾災害問答AI助理,智慧耕作：農民農業技術問答機器人；農業政策法規文件摘要,智慧物流：貨運文件智動摘要；客服：運輸問題AI即時回覆,製程優化：設備操作手冊問答系統；品質報告自動撰寫,金融科技：Robo-advisor個人化理財建議；智慧醫療：病歷摘要/醫療問答AI,智能客服：24H生成式AI郵件/聊天回覆；個人化購物推薦文案生成,公共安全：緊急應變知識問答機器人；消防法規自動查詢
198,中科二,大數據 5V,永續發展與福祉,資料價值,Value,-,FALSE,數據變現與決策,商業價值萃取,大數據的核心，強調從海量資料中提煉出能解決問題或獲利的見解。,決定數據收集策略,判定收集此項數據是否能提升利潤。,,,,,,,
199,中科二,大數據 5V,永續發展與福祉,數據量,Volume,-,FALSE,數據規模管理,存儲擴充能力,數據的巨大規模（如從 GB 到 PB 級別），是傳統工具難以處理的首要特徵。,評估硬件需求,決定是否需要分佈式文件系統。,,,,,,,
200,中科二,大數據 5V,永續發展與福祉,數據多樣性,Variety,-,FALSE,處理非結構化數據,多元格式整合,包含結構化、半結構化（JSON）及非結構化（圖影音）的數據類型。,擴大分析維度,結合文字評論與銷售數據進行分析。,,,,,,,
201,中科二,大數據 5V,永續發展與福祉,數據時效性,Velocity,-,FALSE,提升即時處理力,串流運算與低延遲,數據產生與處理的速度，強調即時分析而非僅是批次處理。,實現即時反應,股票市場即時行情分析與預警。,,,,,,,
202,中科二,大數據 5V,透明與可解釋,數據真實性,Veracity,-,FALSE,確保數據品質,數據清洗與來源追蹤,"指數據的準確性、一致性與可信度，是決定「Garbage In, Garbage Out」的關鍵。",提升模型信任度,清除爬蟲抓取到的垃圾資訊。,,,,,,,
203,中科三,數學基礎,-,純量,Scalar,-,FALSE,單一數值表示,零階張量,只有大小、沒有方向的數值（如：溫度 25 度）。,描述單一屬性,損失函數的最終得分。,,,,,,,
204,中科三,數學基礎,-,向量,Vector,-,FALSE,方向與強度表示,一階張量,由一組有序數值組成，代表空間中的點或方向（如：詞嵌入）。,語義表示,將「蘋果」轉化為數值數組。,,,,,,,
205,中科三,數學基礎,-,矩陣,Matrix,-,FALSE,二維數據結構,二階張量,由列與行組成的矩形數組，是線性變換與權重存儲的核心。,網路權重儲存,神經網路層與層間的計算。,,,,,,,
206,中科三,數學基礎,-,張量,Tensor,-,FALSE,多維數據容器,多維數組,矩陣在高維空間的推廣（0階為純量，1階為向量，2階為矩陣）。,深度學習核心架構,處理彩色圖像（長 x 寬 x 色彩通道）。,,,,,,,
207,中科三,數學基礎,-,線性代數,Linear Algebra,-,FALSE,空間變換計算,矩陣與向量運算,研究向量空間與線性映射的數學分支，是 AI 計算的物理基礎。,神經網路底層計算,執行矩陣相乘來更新神經元。,,,,,,,
208,中科三,數學基礎,透明與可解釋,微積分,Calculus,-,FALSE,變化率建模,導數與積分,研究函數變化率的數學，是優化演算法（梯度下降）的理論支柱。,模型參數優化,計算誤差對權重的影響。,,,,,,,
209,中科三,數學基礎,透明與可解釋,鏈式法則,Chain Rule,-,FALSE,複合函數求導,偏微分傳遞,計算複合函數導數的公式，是「反向傳播」演算法的核心邏輯。,權重梯度更新,將輸出誤差回傳至輸入層。,,,,,,,
210,中科三,數學基礎,透明與可解釋,貝氏定理,Bayes' Theorem,-,FALSE,條件機率推論,先驗與後驗機率更新,描述在已知某些條件下，事件發生機率的數學公式，用於不確定性推理。,分類與不確定性評估,判定郵件在包含某些字眼時為垃圾信的機率。,,,,,,,
211,"中科二

中科三",數學基礎,透明與可解釋,常態分佈,Normal Distribution,-,FALSE,描述自然數據規律,鐘形曲線,大多數隨機變數趨向的分佈模式（均值為中心，左右對稱）。,資料標準化參考,判定數據是否為異常值。,環境監控：水庫水位/PM2.5感測值異常即時告警；地震前兆異常偵測,精準養殖：魚塭水質pH/溶氧異常立即警報；畜牧：體溫異常偵測,智慧交通：交通事故現場流量異常識別；物流：配送軌跡異常告警,預測性維護：機台振動/電流異常早期告警；品質：製程數據異常即時停線,金融科技：信用卡盜刷異常交易即時攔截；智慧醫療：生命徵象異常告警,智慧零售：庫存異常銷售模式偵測（搶購/假退貨）,智慧消防：感測溫度/煙霧異常即時觸發告警；公共安全：人流密度異常偵測
212,"中科二

中科三",數學基礎,-,歐幾里得距離,Euclidean Distance,-,FALSE,衡量物理距離,直線距離公式,兩點間最短直線距離，常用於衡量數據間的相似度。,相似度比對,找出最鄰近的分類對象 (KNN)。,,,,,,,
213,中科三,模型優化,永續發展與福祉,知識蒸餾,Knowledge Distillation,-,FALSE,模型輕量化,教師-學生模型架構,將大型模型（教師）的知識轉移給小型模型（學生）的訓練技術。,提升推論速度,在手機上運行具有 GPT 實力的輕量模型。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
214,中科三,模型優化,永續發展與福祉,剪枝,Pruning,-,FALSE,移除無用參數,權重稀疏化,移除神經網路中對預測影響極小的權重，以減少計算量與記憶體。,優化硬體部署,去除模型中 30% 的多餘神經元。,,,,,,,
215,中科三,模型優化,永續發展與福祉,量化,Quantization,-,FALSE,降低精確度換效能,位元精度轉換,將 32 位元浮點數轉為 8 位元或 4 位元整數，大幅縮減模型體積。,降低儲存需求,使模型在筆電上流暢運行。,,,,,,,
216,中科三,機器學習,永續發展與福祉,神經架構搜索,Neural Architecture Search,NAS,FALSE,自動設計模型,自動化 ML 延伸,利用演算法自動搜索最優的神經網路架構，無需人工手動調整層數。,研發高效能模型,尋找適合特定硬體的視覺模型。,,,,,,,
217,中科三,資訊安全,安全性,對稱加密,Symmetric Encryption,-,FALSE,快速數據保護,單一密鑰傳輸,加密與解密使用相同金鑰，速度快，但金鑰傳遞風險高。,資料傳輸安全,數據在內部網路的快速加解密。,,,,,,,
218,中科三,資訊安全,安全性,非對稱加密,Asymmetric Encryption,-,FALSE,高安全性密鑰交換,公鑰與私鑰對,使用一對密鑰（公鑰加密、私鑰解密），保障了開放環境下的安全。,數位簽章與身份認證,安全登入 AI 管理後台。,,,,,,,
219,中科一,資訊安全,安全性,多因子驗證,Multi-Factor Authentication,MFA,FALSE,防止非法存取,多重驗證機制,要求使用者提供兩種以上的證據（密碼 + 手機驗證碼）才能進入系統。,強化帳戶安全,保護企業 AI 數據平台不被盜取。,,,,,,,
220,中科一,模型監控,問責,模型退化,Model Degradation,-,FALSE,預防系統崩潰,效能指標持續下降,由於環境改變或數據污染，導致模型預測效能隨著時間逐漸惡化的現象。,維護策略調整,監控預測準確率是否掉出 KPI。,,,,,,,
221,中科二,系統架構,永續發展與福祉,資料湖,Data Lake,-,FALSE,儲存原始大數據,原始格式存儲,以原始格式儲存各類原始數據（結構化與非結構化）的系統，適合大數據分析。,支援探索性研究,儲存公司成立至今的所有日誌與圖像。,,,,,,,
222,中科二,系統架構,永續發展與福祉,資料倉儲,Data Warehouse,-,FALSE,支援決策分析,結構化數據整合,經處理、清洗後的結構化數據存儲庫，專為查詢、報告與分析設計。,產出經營報表,定期統計各季度的銷售增長。,,,,,,,
223,中科一,AI 代理人,永續發展與福祉,Auto-GPT,Auto-GPT,-,FALSE,自主任務拆解,循環思考鏈,一個能自主將目標分解成任務、聯網搜尋並執行，直到達成目標的代理人。,複雜自動化任務,「幫我研究這 5 間競品並寫成分析報告」。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
224,中科一,AI 代理人,永續發展與福祉,CrewAI,CrewAI,-,FALSE,多代理人協作框架,角色驅動型 Agent,專注於讓多個 AI 代理人扮演不同角色（如：主編、作家、研究員）協作。,專業內容生產線,自動生成包含插圖、研究與校對的部落格文章。,,,,,,,
225,中科一,應用工具,隱私保護,Ollama,Ollama,-,FALSE,輕量化本地運行,模型封裝與加載,專為本地運行大型語言模型設計的輕量工具，支持 Mac/Windows/Linux。,離線 AI 使用,隱私性極高的個人助理。,,,,,,,
226,中科一,應用工具,隱私保護,AnythingLLM,AnythingLLM,-,FALSE,本地全能 RAG 應用,一體化 AI 界面,內建向量資料庫與模型連動，讓非工程師也能建立私有文件對話機器人。,個人知識庫管理,搜尋並詢問個人數百份筆記內容。,氣象預報：氣象報告文字自動生成；環境：民眾災害問答AI助理,智慧耕作：農民農業技術問答機器人；農業政策法規文件摘要,智慧物流：貨運文件智動摘要；客服：運輸問題AI即時回覆,製程優化：設備操作手冊問答系統；品質報告自動撰寫,金融科技：Robo-advisor個人化理財建議；智慧醫療：病歷摘要/醫療問答AI,智能客服：24H生成式AI郵件/聊天回覆；個人化購物推薦文案生成,公共安全：緊急應變知識問答機器人；消防法規自動查詢
227,中科一,應用工具,隱私保護,Open WebUI,Open WebUI,-,FALSE,提升操作便利性,介面化模型管理,提供類似 ChatGPT 的網頁介面，用於操作本地運行的各種開源模型。,自建 AI 使用介面,團隊內部分享本地 AI 服務。,,,,,,,
228,中科一,治理政策,永續發展與福祉,主權人工智慧,Sovereign AI,-,FALSE,保障文化與數據主權,本地化模型與算力,強調一個國家應擁有自己的算力、數據及符合其文化價值觀的模型。,國家安全與文化傳承,台灣 TAIDE 模型計畫。,,,,,,,
229,初科二,數位轉型,永續發展與福祉,數位轉型 2.0,DX 2.0 / AI-First,-,FALSE,全面智慧化轉型,AI 核心驅動,數位轉型進階版，將 AI 視為核心動力而非僅是輔助，全面重塑組織。,企業競爭力重塑,從傳統服務轉向全 AI 自動化服務。,,,,,,,
230,中科一,組織治理,安全性,影子人工智慧,Shadow AI,-,FALSE,防範未授權 AI 使用,非官方 AI 應用,員工在未經 IT 授權下私下使用外部 AI 工具，可能導致個資洩露。,資訊安全管控,企業規範 ChatGPT 的使用範圍。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
231,初科一,AI 哲學,永續發展與福祉,共生智能,Symbiotic Intelligence,-,FALSE,人機協作終極目標,互補式智慧進化,人類與 AI 相互依存、共同學習與進化的新型智慧形態。,提升全人類創造力,AI 擴展人類感官與思維界限。,,,,,,,
232,中科一,生成式 AI,永續發展與福祉,長期記憶,Long-term Memory,-,FALSE,維持對話一致性,外部向量庫/資料持久化,讓 AI 代理人能記住幾天前甚至幾個月前的對話內容與使用者偏好。,客製化數位助理,AI 記得你的飲食禁忌與旅遊規劃。,,,,,,,
233,中科二,系統效能,永續發展與福祉,冷啟動問題,Cold Start Problem,-,FALSE,解決初期推薦難題,基於內容的初步推薦,新用戶或新商品加入時，因缺乏歷史行為數據導致推薦不準的問題。,優化新進資源推廣,新上架 APP 的初始曝光策略。,,,,,,,
234,中科一,治理政策,問責,合規人工智慧,Compliant AI,-,FALSE,符合法律規範,合規自動化檢核,確保 AI 系統從研發到部署全程符合個資法、資安法等法律要求的技術。,降低法律訴訟風險,金融業 AI 模型必須符合金管會規範。,,,,,,,
235,中科三,環境保護,永續發展與福祉,綠色人工智慧,Green AI,-,FALSE,降低環境成本,高能效演算法開發,專注於開發低耗能、高效益的 AI 系統，以減少訓練與推論的碳足跡。,ESG 企業責任,採用輕量化模型以節省伺服器電力。,,,,,,,
236,中科一,系統架構,永續發展與福祉,模組化人工智慧,Modular AI,-,FALSE,提升系統靈活性,插件化與層次化架構,將 AI 系統拆分為不同功能的獨立模組，可視需求動態組合與更新。,快速更新特定功能,僅升級模型的「翻譯模組」而不影響其他部分。,,,,,,,
237,中科三,模型評估,透明與可解釋,困惑度,Perplexity,PPL,FALSE,衡量語言模型預測力,機率分布的測不準度,評估語言模型預測下一個詞的能力，數值越低代表模型越強、預測越準。,比較模型流暢度,評斷不同版本 LLM 的生成品質。,氣象預報：氣象報告文字自動生成；環境：民眾災害問答AI助理,智慧耕作：農民農業技術問答機器人；農業政策法規文件摘要,智慧物流：貨運文件智動摘要；客服：運輸問題AI即時回覆,製程優化：設備操作手冊問答系統；品質報告自動撰寫,金融科技：Robo-advisor個人化理財建議；智慧醫療：病歷摘要/醫療問答AI,智能客服：24H生成式AI郵件/聊天回覆；個人化購物推薦文案生成,公共安全：緊急應變知識問答機器人；消防法規自動查詢
238,中科二,資訊檢索,問責,Recall@K,Recall@K,-,FALSE,衡量檢索完整性,前 K 名覆蓋比例,在推薦或檢索系統中，前 K 個結果中包含正確答案的比例。,評估 RAG 效果,前 10 筆檢索結果中是否有我要的文獻。,環境監控：氣象法規/標準文件RAG問答系統,智慧耕作：農業技術資料庫RAG問答助理（查詢防治方法）,智慧物流：運輸法規/路線資料庫AI查詢,預測性維護：設備維修手冊RAG問答（快速查詢故障碼）,智慧醫療：醫學文獻RAG輔助診斷；金融：法規合規即時查詢,智能客服：企業內部產品知識庫RAG問答（減少幻覺）,公共安全：消防法規/救災程序RAG查詢助理
239,中科二,資訊檢索,透明與可解釋,歸一化折損累計增益,NDCG,NDCG,FALSE,衡量排名品質,加權排名相關性評分,不僅看結果對不對，還考慮結果排名的先後順序是否合理。,優化搜尋引擎排序,使最相關的網頁排在第一位。,,,,,,,
240,中科三,環境保護,永續發展與福祉,碳足跡,Carbon Footprint,-,FALSE,監測環境影響,二氧化碳排放量度量,衡量 AI 模型在全生命週期（特別是訓練階段）所產生的溫室氣體總量。,環境永續報告書,計算預訓練一個大模型所需的耗電與排碳。,,,,,,,
241,中科一,財務評估,永續發展與福祉,推論成本,Inference Cost,-,FALSE,降低運行預算,單次請求運算成本,每執行一次 AI 預測所需支付的算力、電費或 API 授權費用。,評估專案商業可行性,決定使用 GPT-4 或是更便宜的 Llama 3。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
242,中科三,模型規模,永續發展與福祉,參數量,Parameter Count,-,FALSE,衡量模型容量,模型內部變數總數,指神經網絡中權重和偏置的總量（如 70B 表示 700 億），代表學習能力。,評估硬體門檻,決定運行模型需要多少顯存（VRAM）。,,,,,,,
243,中科三,深度學習,-,人工神經網路,Artificial Neural Network,ANN,FALSE,模擬生物智能,權重連接與激活函數,模仿大腦神經元結構，由輸入層、隱藏層與輸出層組成的計算模型。,複雜非線性模式識別,早期手寫數字辨識 (MNIST)。,,,,,,,
244,中科一,電腦視覺,永續發展與福祉,池化層,Pooling,-,FALSE,降維與特徵不變性,空間下採樣 (Max/Avg),在 CNN 中縮小特徵圖尺寸的層，能減少參數並防止過擬合。,提升運算效率,影像辨識中提取最顯著的邊緣特徵。,環境監控：感測器端即時PM2.5分析（不上傳雲端）；邊緣站即時地震預警運算,智慧耕作：田埂感測器本地即時土壤分析決策；畜牧：牲畜項圈端健康監測,自駕與輔助：車內ADAS即時障礙物偵測（低延遲）；路側單元即時車流分析,品質檢測：產線攝影機端即時瑕疵判斷；預測性維護：感測器端即時異常偵測,智慧醫療：手術室設備端即時生命徵象分析；穿戴裝置端健康偵測,智慧生活：智慧家電本地語音處理（保護隱私）；收銀端即時商品識別,智慧消防：煙霧感測器端即時火災判斷（斷網也能動）；監控攝影機端人臉比對
245,中科三,深度學習,-,全連接層,Fully Connected Layer,FC,FALSE,整合全局資訊,矩陣乘法運算,每一層的所有神經元都與前一層的所有神經元相連，通常用於網路末端進行分類。,產出最終分類結果,將提取出的影像特徵轉換為「貓」或「狗」的機率。,,,,,,,
246,中科三,模型訓練,永續發展與福祉,批次大小,Batch Size,-,FALSE,平衡訓練速度與穩定性,梯度下降更新頻率,每次參數更新前所處理的訓練樣本數量。,控制記憶體消耗,顯存有限時調小 Batch Size。,,,,,,,
247,中科三,模型評估,透明與可解釋,學習曲線,Learning Curve,-,FALSE,診斷模型狀態,訓練/驗證誤差趨勢圖,顯示模型效能隨訓練時間或樣本量變化的圖表，用於判斷過擬合或欠擬合。,訓練進程監控,觀察驗證集誤差是否開始上升。,,,,,,,
248,中科三,模型訓練,永續發展與福祉,早停法,Early Stopping,-,FALSE,防止過擬合,性能指標門檻監控,當驗證集效能停止提升或開始惡化時，提早結束訓練的技術。,節省算力並優化泛化能力,防止模型過度擬合訓練數據中的雜訊。,,,,,,,
249,中科一,NLP/搜尋,透明與可解釋,嵌入 / 向量化,Embedding,-,FALSE,語義數值表示,高維空間映射,將離散變數（如單字）轉換為連續向量，捕捉語義相似性。,語義搜尋與 RAG,將文件轉換為向量存入資料庫。,環境監控：氣象法規/標準文件RAG問答系統,智慧耕作：農業技術資料庫RAG問答助理（查詢防治方法）,智慧物流：運輸法規/路線資料庫AI查詢,預測性維護：設備維修手冊RAG問答（快速查詢故障碼）,智慧醫療：醫學文獻RAG輔助診斷；金融：法規合規即時查詢,智能客服：企業內部產品知識庫RAG問答（減少幻覺）,公共安全：消防法規/救災程序RAG查詢助理
250,中科一,生成式 AI,永續發展與福祉,自適應提示,Adaptive Prompting,-,FALSE,自動優化互動,內容感知動態調整,根據使用者歷史行為或上下文自動調整提示詞結構的技術。,提升用戶體驗,根據學生程度自動調整解題提示的難度。,,,,,,,
251,中科一,內容治理,透明與可解釋,幻覺偵測器,Hallucination Detector,-,FALSE,提升資訊可信度,事實一致性比對,專門用於識別 AI 生成內容中事實錯誤或邏輯矛盾的檢測工具。,輔助人工審核,法律 AI 輸出後自動標註可能虛構的條文。,,,,,,,
252,中科一,資訊安全,隱私保護,隱私計算,Privacy Computing,-,FALSE,數據可用不可見,聯邦學習/同態加密,在保護數據隱私的前提下進行數據分析與計算的技術集合。,跨機構數據協作,銀行間不交換明文數據進行聯合風控建模。,,,,,,,
253,中科一,模型治理,問責,對齊,Alignment,-,FALSE,確保 AI 行為安全,價值觀對齊 (RLHF),使 AI 的目標與行為符合人類意圖、倫理標準與法律規範的過程。,減少有害輸出,確保模型拒絕回答如何製造危險物品。,,,,,,,
254,中科一,AI 代理人,永續發展與福祉,自主工作流,Autonomous Workflow,-,FALSE,實現無人值守自動化,任務規劃與循環執行,AI 代理人能自主分解、執行並驗證一系列複雜任務的流程。,提升企業自動化程度,AI 自動抓取訂單、核對庫存並發送出貨通知。,,,,,,,
255,初科二,生成式 AI,透明與可解釋,知識截止點,Knowledge Cutoff,-,FALSE,標示時效邊界,預訓練數據時間限制,模型訓練數據所涵蓋的最晚時間點，決定了其對時事了解的界限。,提醒資訊時效性,ChatGPT 告知其知識僅更新至 2023 年 10 月。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
256,中科三,模型監控,問責,幻覺率,Hallucination Rate,-,FALSE,衡量生成品質,錯誤事實占比統計,在特定測試集上，AI 生成事實錯誤內容的百分比。,模型效能評比,比較不同版本基座模型的可靠性。,氣象預報：氣象報告文字自動生成；環境：民眾災害問答AI助理,智慧耕作：農民農業技術問答機器人；農業政策法規文件摘要,智慧物流：貨運文件智動摘要；客服：運輸問題AI即時回覆,製程優化：設備操作手冊問答系統；品質報告自動撰寫,金融科技：Robo-advisor個人化理財建議；智慧醫療：病歷摘要/醫療問答AI,智能客服：24H生成式AI郵件/聊天回覆；個人化購物推薦文案生成,公共安全：緊急應變知識問答機器人；消防法規自動查詢
257,中科一,系統效能,永續發展與福祉,上下文切換,Context Switching,-,FALSE,處理多任務流轉,狀態儲存與加載,在多個對話或任務間切換時，模型重新加載相關上下文的過程。,多人協作 AI 系統,智慧客服在多位客戶間快速切換服務。,,智慧耕作：農民用藥/種植問題語音客服機器人,智慧交通：大眾運輸24H AI客服（班次/票務查詢）,製程優化：設備操作問題AI即時回覆,金融科技：24H智能理財/帳務客服；智慧醫療：預約/衛教問答機器人,智能客服：24H語音機器人、生成式AI郵件回覆（核心場景）,公共安全：非緊急情況AI問答分流（釋放人工接線員）
258,初科二,生成式 AI,永續發展與福祉,原生多模態,Native Multimodal,-,FALSE,統一特徵理解,跨模態聯合訓練,模型在設計初期就同時學習圖、文、音等數據，而非透過外掛拼接。,提升跨媒體推理能力,GPT-4o 能夠直接「看懂」並「聽懂」外界環境。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
259,中科一,組織治理,問責,人工智慧治理,AI Governance,-,FALSE,降低技術風險,政策與框架制定,確保 AI 系統開發與使用符合法律、倫理與安全標準的框架與制度。,企業合規化管理,成立 AI 倫理委員會制定內部開發準則。,,,,,,,
260,中科三,機器學習,公平性,偏見緩解,Bias Mitigation,-,FALSE,提升決策公平,數據再平衡與演算法修正,透過調整訓練數據或損失函數，減少模型對特定族群歧視的技術。,招聘/貸款模型優化,確保貸款模型不會因性別而影響評分。,,,,,,,
261,中科一,環境保護,永續發展與福祉,永續人工智慧,Sustainable AI,-,FALSE,減少碳足跡,綠色算力與高能效模型,專注於降低 AI 運算對資源（電、水、碳）消耗的技術與開發模式。,企業 ESG 實踐,採用量化技術減少伺服器耗電。,,,,,,,
262,中科一,應用場景,永續發展與福祉,情感 AI,Affective AI / EQ AI,-,FALSE,模擬人類情感,語調與微表情辨識,旨在識別、理解、模擬人類情緒與情感反應的 AI 技術。,心理健康與服務業,智慧座艙偵測駕駛疲勞與情緒狀態。,,,,,,,
263,中科一,生成式 AI,透明與可解釋,混合檢索增強生成,Hybrid RAG,-,FALSE,提升檢索精準度,向量搜尋 + 關鍵字搜尋,結合語義向量檢索與傳統關鍵字檢索（如 BM25）的進階 RAG 技術。,處理專業術語搜尋,既能理解語義，又能精確定位特定的零件編號。,環境監控：氣象法規/標準文件RAG問答系統,智慧耕作：農業技術資料庫RAG問答助理（查詢防治方法）,智慧物流：運輸法規/路線資料庫AI查詢,預測性維護：設備維修手冊RAG問答（快速查詢故障碼）,智慧醫療：醫學文獻RAG輔助診斷；金融：法規合規即時查詢,智能客服：企業內部產品知識庫RAG問答（減少幻覺）,公共安全：消防法規/救災程序RAG查詢助理
264,中科一,推論優化,永續發展與福祉,閃電注意力,Flash Attention,-,FALSE,減少記憶體讀寫,分塊計算與算子融合,一種加速 Transformer 注意力機制運算的演算法，透過減少 GPU 顯存讀寫次數提升速度 。,提升長文本處理速度,在 128k 超長上下文模型中維持運算效率。,,,,,,,
265,中科一,推論優化,永續發展與福祉,KV 快取,KV Cache,-,FALSE,降低重複運算,儲存已計算的鍵值向量,在生成式 AI 推論時，將先前 Token 的 Key 與 Value 向量存入顯存，避免重複計算。,加速文字生成速度,讓 ChatGPT 輸出時不必每次都重算前面的對話。,氣象預報：多站氣象數據關聯建模；長序列氣溫趨勢預測,農業報告語意摘要；農業政策法規文件自動解析,智慧物流：運輸訂單文字意圖理解；交通事故報告自動分析,製程優化：製造設備日誌語意分析；異常描述文字分類,金融科技：金融報告語意理解；智慧醫療：病歷/診斷報告文字摘要,智能客服：用戶意圖理解；個人化推薦：評論語意分析,公共安全：社群媒體災情文字解析；緊急求救訊號意圖識別
266,中科三,電腦視覺,透明與可解釋,顯著圖,Saliency Map,-,FALSE,視覺化模型關注點,像素梯度熱圖繪製,標示出影像中對模型決策影響最大的像素區域，用於解釋 AI「看到了什麼」。,診斷模型錯誤原因,確認醫療影像 AI 是否真的在看病灶而非背景雜訊。,,,,,智慧醫療：醫學影像輔助判讀（X光/MRI）、新藥開發篩選、個人化健康管家（核心場景）,智慧生活：健康管家APP個人化衛教建議,消防：救災傷患傷勢快速評估輔助
